"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB29351",3,267326732.673267,"3_10_19","252.20502",214.5,"Multiple",NA,NA,"Geranyl hexanoate","C16H28O2","-","M-H_[-1]",2888900.89285714
"HMDB29351",3,267326732.673267,"3_10_19","251.20166",214.6,"Multiple",251.20165,0.04,"Geranyl hexanoate","C16H28O2","252.20893014","M-H",17279302.7
"HMDB29404",3,261980198.019802,"0_7_1","334.09699",27.9,"Unique",NA,NA,"(S)-a-Amino-25-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside","C12H18N2O9","-","M-H_[-1]",4821841.625
"HMDB29404",3,261980198.019802,"0_7_1","333.09328",27.8,"Unique",333.09395,2.01,"(S)-a-Amino-25-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside","C12H18N2O9","334.101230184","M-H",30556390.3
"HMDB29423",3,13587096.7741936,"3_6_1","163.02478",22.8,"Multiple",NA,NA,"Acetylhomoserine","C6H11NO4","-","M-H_[+3]",9242519.25
"HMDB29423",3,13587096.7741936,"3_6_1","162.97797",24.7,"Multiple",NA,NA,"Acetylhomoserine","C6H11NO4","-","M-H_[+3]",12818896.8035714
"HMDB29423",3,13587096.7741936,"3_6_1","162.93988",25.2,"Multiple",NA,NA,"Acetylhomoserine","C6H11NO4","-","M-H_[+3]",12582332.7678571
"HMDB29423",3,13587096.7741936,"3_6_1","160.06147",23,"Multiple",160.06153,0.37,"Acetylhomoserine","C6H11NO4","161.068807845","M-H",14074704.3
"HMDB29475",3,241772727.272727,"65_5_47","348.22650",219.6,"Multiple",NA,NA,"10-Gingerdione","C21H32O4","-","M-H_[-1]",1976196.91071429
"HMDB29475",3,241772727.272727,"65_5_47","347.22287",220.6,"Multiple",347.22278,0.26,"10-Gingerdione","C21H32O4","348.230059512","M-H",10144294.7
"HMDB29571",3,267326732.673267,"252_1_1","97.96432",21.6,"Unique",NA,NA,"12-Dichloroethane","C2H4Cl2","-","M-H_[-1]",2515461.20535714
"HMDB29571",3,267326732.673267,"252_1_1","96.96193",21.5,"Unique",96.96173,2.06,"12-Dichloroethane","C2H4Cl2","97.969005542","M-H",9428692.1
"HMDB29580",3,5.4e+09,"3_6_1","125.00106",23.9,"Multiple",125.0011,0.32,"Dimethyl carbonate","C3H6O3","90.031694058","M+Cl",47168643
"HMDB29580",3,5.4e+09,"3_6_1","90.03065",24.5,"Multiple",NA,NA,"Dimethyl carbonate","C3H6O3","-","M-H_[-1]",4580704.39285714
"HMDB29644",3,18236842.1052632,"67_2_1","171.88847",21.2,"Multiple",NA,NA,"246-Trihydroxyacetophenone","C8H8O4","-","M-H_[+5]",479411.267857143
"HMDB29644",3,18236842.1052632,"67_2_1","167.03436",19.8,"Multiple",167.03498,3.71,"246-Trihydroxyacetophenone","C8H8O4","168.042258744","M-H",734943.1
"HMDB29666",3,14609589.0410959,"67_1_1","156.87774",24.1,"Multiple",NA,NA,"24-Dihydroxybenzoic acid","C7H6O4","-","M-H_[+4]",1122233.72321429
